,City,Cloudiness,Country,Date,Humidity,Temperature,Latitude,Longitude,Wind Speed
157,Flinders,100,AU,1612552617,85,73.0,-34.5833,150.8552,3.0
158,Porto-Novo,20,BJ,1612552618,79,86.0,6.4965,2.6036,11.5
159,Koulikoro,100,ML,1612552619,17,76.64,14.0,-7.75,1.54
160,Esperance,75,AU,1612552620,94,57.2,-33.8667,121.9,4.61
161,Yurginskoye,100,RU,1612552621,98,34.16,56.8189,67.3921,9.37
162,Kysyl-Syr,25,RU,1612552622,78,-42.41,63.8986,122.7617,4.7
163,Mamakan,100,RU,1612552623,86,-0.87,57.8161,114.0028,3.0
164,Coruripe,40,BR,1612552624,68,83.12,-10.1256,-36.1756,19.24
165,Saint-Augustin,100,CA,1612552626,96,32.77,51.226,-58.6502,16.78
166,Butaritari,98,KI,1612552527,83,80.87,3.0707,172.7902,14.72
167,Hong Kong,0,HK,1612552507,77,64.99,22.2855,114.1577,5.14
168,Vila,100,PT,1612552629,93,46.0,42.0304,-8.1588,6.06
169,Pacific Grove,1,US,1612552575,54,60.01,36.6177,-121.9166,4.61
170,Krasnoznamensk,75,RU,1612552631,72,12.2,55.5994,37.0386,13.42
171,Kruisfontein,5,ZA,1612552628,79,73.0,-34.0033,24.7314,4.0
172,Laguna,1,US,1612552633,58,57.0,38.421,-121.4238,3.44
173,Bayir,5,TR,1612552634,93,51.8,37.2687,28.2167,5.75
174,Omsukchan,85,RU,1612552636,83,-25.4,62.5333,155.8,2.48
175,Mariental,19,NA,1612552637,29,86.13,-24.6333,17.9667,9.31
176,Siavonga,100,ZM,1612552638,81,78.21,-16.5382,28.7088,3.85
177,Vila Velha,75,BR,1612552551,74,89.01,-20.3297,-40.2925,18.41
178,Aswān,0,EG,1612552640,41,63.68,24.0934,32.907,14.41
179,Namalenga,91,TZ,1612552641,95,73.69,-10.95,39.1,3.94
180,Umarkot,0,PK,1612552642,29,61.54,25.3616,69.7362,6.11
181,Margate,0,GB,1612552563,85,46.99,51.3813,1.3862,3.0
182,Berlevåg,75,NO,1612552645,59,30.2,70.8578,29.0864,27.63
183,Tiksi,100,RU,1612552646,88,-19.75,71.6872,128.8694,13.35
184,Touros,0,BR,1612552528,51,86.0,-5.1989,-35.4608,14.97
185,Oddur,0,SO,1612552648,29,79.16,4.1213,43.8894,10.31
186,Parva,100,RO,1612552649,85,35.01,47.4,24.55,2.35
187,Batemans Bay,100,AU,1612552650,91,71.01,-35.7167,150.1833,14.0
188,Falun,90,SE,1612552651,92,15.8,60.6036,15.626,8.05
189,Saint-Louis,0,SN,1612552653,41,80.6,16.3333,-15.0,2.3
190,Bhatkal,0,IN,1612552484,68,75.56,13.9667,74.5667,5.61
191,Chokurdakh,100,RU,1612552595,88,-13.09,70.6333,147.9167,13.51
192,Pocatello,75,US,1612552656,75,35.6,42.8713,-112.4455,20.71
193,Khatanga,13,RU,1612552657,79,-31.54,71.9667,102.5,7.99
194,Talas,0,TR,1612552658,80,32.0,38.6908,35.5538,2.3
195,Port Hawkesbury,90,CA,1612552659,100,37.99,45.6169,-61.3485,6.91
196,Aklavik,20,CA,1612552648,67,-34.6,68.2191,-135.0107,3.44
197,Bara,0,NG,1612552662,19,80.58,10.3744,10.7288,11.45
198,Chiang Klang,0,TH,1612552663,62,69.48,19.2938,100.8617,1.28
199,Kjøpsvik,20,NO,1612552664,92,30.0,68.097,16.3742,1.14
200,Shar,100,KZ,1612552665,94,22.73,49.5886,81.0453,8.57
201,Elizabeth City,90,US,1612552468,93,48.99,36.2946,-76.2511,12.66
202,Kahului,20,US,1612552510,73,69.8,20.8947,-156.47,3.44
203,Saint Anthony,75,US,1612552546,61,10.99,45.0205,-93.218,20.71
204,Uyskoye,100,RU,1612552670,94,34.23,54.3775,60.0047,11.95
205,Fairbanks,75,US,1612552568,69,-18.4,64.8378,-147.7164,3.24
206,Kokologo,0,BF,1612552672,16,86.0,12.1897,-1.8856,4.61
207,Nizhniy Chir,100,RU,1612552673,92,26.47,48.3597,43.0865,22.97
208,Finschhafen,100,PG,1612552649,81,80.26,-6.6024,147.8681,6.82
209,Sainte-Marie,0,RE,1612552675,61,77.0,-20.8968,55.5496,10.36
210,Mchinji,45,MW,1612552394,96,66.88,-13.7984,32.8802,2.77
211,Severo-Kuril'sk,49,RU,1612552677,84,11.59,50.6789,156.125,7.94
212,Requena,100,ES,1612552679,84,55.0,39.4883,-1.1004,8.12
213,São Filipe,48,CV,1612552585,74,71.35,14.8961,-24.4956,15.23
214,Petropavlovsk-Kamchatskiy,100,RU,1612552681,71,-7.6,53.0452,158.6483,8.95
215,Malbork,92,PL,1612552682,84,21.0,54.0359,19.0266,3.85
216,Vao,0,NC,1612552683,86,78.03,-22.6667,167.4833,13.82
217,Puerto Escondido,40,MX,1612552684,66,86.0,15.85,-97.0667,6.91
218,Provideniya,100,RU,1612552686,90,6.6,64.3833,-173.3,17.74
219,Krasnosel'kup,60,RU,1612552587,85,-30.51,65.7,82.4667,4.97
220,Burriana,100,ES,1612552688,81,55.0,39.889,-0.085,9.69
221,Ostrovnoy,100,RU,1612552597,92,11.73,68.0531,39.5131,12.73
222,Isangel,20,VU,1612552581,94,75.2,-19.55,169.2667,1.25
223,Kīhei,20,US,1612552517,73,69.8,20.785,-156.4656,3.44
224,Souillac,40,MU,1612552693,78,80.6,-20.5167,57.5167,8.05
225,Ambulu,97,ID,1612552694,88,76.32,-8.345,113.6058,2.57
226,Paka,92,MY,1612552695,89,78.8,4.6374,103.4368,4.61
227,Inverell,90,AU,1612552696,89,63.0,-29.7833,151.1167,2.28
228,Anchorage,90,US,1612552678,85,10.4,61.2181,-149.9003,3.44
229,Neuquén,0,AR,1612552698,15,98.6,-38.9516,-68.0591,5.75
230,Yamada,100,JP,1612552699,84,37.81,39.4667,141.95,8.61
231,Santa Maria,75,BR,1612552701,53,75.2,-29.6842,-53.8069,6.91
232,Ocampo,0,MX,1612552702,16,75.11,21.65,-101.5,16.69
233,Te Anau,79,NZ,1612552703,89,55.53,-45.4167,167.7167,0.81
234,Kaiwaka,100,NZ,1612552704,96,66.0,-36.1667,174.45,1.99
235,Maués,8,BR,1612552705,47,93.56,-3.3836,-57.7186,5.26
236,Tromsø,75,NO,1612552518,86,28.4,69.6496,18.957,19.57
237,Salalah,40,OM,1612552707,68,73.4,17.0151,54.0924,8.05
238,Karratha,8,AU,1612552708,78,79.88,-20.7377,116.8463,12.21
239,Sungai Penuh,100,ID,1612552710,94,64.31,-2.0833,101.3833,3.53
240,Caramay,100,PH,1612552711,86,77.59,10.1815,119.236,6.58
241,Mehamn,75,NO,1612552712,59,32.0,71.0357,27.8492,27.63
242,Dingle,100,PH,1612552596,90,74.73,10.9995,122.6711,6.53
243,Metro,100,ID,1612552714,94,74.12,-5.1131,105.3067,7.02
244,Glenwood Springs,90,US,1612552715,85,26.01,39.5505,-107.3248,12.66
245,Severomuysk,83,RU,1612552716,89,-19.32,56.1481,113.4267,4.43
246,Upernavik,100,GL,1612552717,75,6.24,72.7868,-56.1549,2.57
247,Rio Grande,75,BR,1612552472,60,73.4,-32.035,-52.0986,21.85
248,Amahai,100,ID,1612552523,79,79.02,-3.3333,128.9167,5.26
249,Pāliyād,0,IN,1612552721,37,62.76,22.25,71.5667,11.61
250,Nālūt,100,LY,1612552722,28,63.54,30.3333,10.85,12.73
251,Skjervøy,75,NO,1612552520,80,32.0,70.0311,20.9714,23.02
252,Caravelas,100,BR,1612552656,72,83.03,-17.7125,-39.2481,15.5
253,Daru,99,PG,1612552725,83,79.23,-9.0763,143.2092,10.09
254,Lavrentiya,100,RU,1612552576,92,2.28,65.5833,-171.0,16.31
255,Creel,0,MX,1612552728,26,61.59,27.75,-107.6333,8.81
256,Comodoro Rivadavia,0,AR,1612552729,52,66.2,-45.8667,-67.5,12.66
257,Artyom,98,AZ,1612552730,82,47.66,40.4723,50.333,20.02
258,Aksu,84,CN,1612552522,85,26.28,41.1231,80.2644,3.18
259,Zhigansk,67,RU,1612552707,75,-41.55,66.7697,123.3711,3.67
260,Kousséri,0,CM,1612552733,12,78.8,12.0769,15.0306,6.91
261,Jalu,0,LY,1612552734,54,57.74,29.0331,21.5482,4.61
262,Tessalit,30,ML,1612552527,15,77.95,20.1986,1.0114,11.52
263,Mezen',25,RU,1612552737,88,-7.55,65.8522,44.24,11.16
264,Pangody,100,RU,1612552738,87,-18.17,65.85,74.4859,5.08
265,Cabo San Lucas,20,MX,1612552657,31,84.0,22.8909,-109.9124,4.61
266,Pontes e Lacerda,83,BR,1612552740,61,86.56,-15.2261,-59.3353,5.28
267,Tonantins,100,BR,1612552741,89,80.74,-2.8731,-67.8022,3.87
268,Umba,99,RU,1612552742,95,8.17,66.6871,34.3429,5.84
269,Chālūs,75,IR,1612552743,82,57.2,36.655,51.4204,4.61
270,Arecibo,10,PR,1612552745,70,84.99,18.4724,-66.7157,5.99
271,Umluj,15,SA,1612552746,68,67.86,25.0213,37.2685,16.2
272,Talnakh,93,RU,1612552674,84,-26.23,69.4865,88.3972,4.76
273,Makueni Boma,0,KE,1612552748,76,66.24,-1.8041,37.6203,2.59
274,San Jacinto,0,US,1612552749,37,64.99,33.7839,-116.9586,3.76
275,Macusani,69,PE,1612552750,64,49.87,-14.0833,-70.4333,6.17
276,Vagay,100,RU,1612552751,99,33.76,57.9375,69.0217,5.97
277,Deleni,75,RO,1612552752,93,34.0,47.4667,26.8833,3.44
278,Nouadhibou,0,MR,1612552754,72,66.2,20.931,-17.0347,12.66
279,Yishui,0,CN,1612552755,66,40.6,35.7847,118.6281,6.06
280,Tanout,0,NE,1612552756,20,70.07,14.9709,8.8879,13.15
281,Paragominas,4,BR,1612552757,47,90.72,-2.9667,-47.4833,4.56
282,East London,75,ZA,1612552758,100,69.8,-33.0153,27.9116,9.22
283,Simões,68,BR,1612552759,33,92.12,-7.5989,-40.8178,0.98
284,Eirunepé,99,BR,1612552760,96,74.82,-6.6603,-69.8736,3.29
285,Deputatsky,84,RU,1612552708,86,-31.97,69.3,139.9,0.29
286,Kot Addu,0,PK,1612552763,77,59.0,30.4692,70.9671,2.48
287,Ribeira Grande,75,PT,1612552760,72,59.0,38.5167,-28.7,12.66
288,Saint George,1,US,1612552710,33,50.0,37.1041,-113.5841,3.27
289,Suining,0,CN,1612552766,76,49.96,30.508,105.5733,1.79
290,Mountain Home,90,US,1612552767,70,42.8,43.133,-115.6912,12.66
291,Kudahuvadhoo,100,MV,1612552768,75,81.36,2.6708,72.8944,11.68
292,Gouré,0,NE,1612552769,13,75.99,13.9835,10.2704,5.99
293,Birjand,0,IR,1612552770,20,37.4,32.8663,59.2211,6.91
294,Piaçabuçu,89,BR,1612552771,66,83.62,-10.4056,-36.4344,17.31
295,Maniitsoq,95,GL,1612552724,73,15.3,65.4167,-52.9,5.14
296,Ruthin,75,GB,1612552774,87,42.8,53.1137,-3.3178,5.75
297,Morón,0,AR,1612552553,31,86.0,-34.6534,-58.6198,3.0
298,Kendari,58,ID,1612552584,91,75.52,-3.945,122.4989,3.18
299,Korla,0,CN,1612552777,83,27.03,41.7597,86.1469,2.66
300,Belaya Gora,100,RU,1612552778,89,-17.46,68.5333,146.4167,6.89
301,Pimenta Bueno,65,BR,1612552779,72,86.54,-11.6725,-61.1936,1.92
302,Fare,1,PF,1612552780,68,80.82,-16.7,-151.0167,5.86
303,Andrelândia,100,BR,1612552782,86,75.02,-21.7397,-44.3092,5.21
304,Cherskiy,0,RU,1612552783,77,-13.95,68.75,161.3,4.88
305,Clyde River,75,CA,1612552523,76,-16.6,70.4692,-68.5914,12.66
306,Doha,0,QA,1612552691,83,68.0,25.2867,51.5333,5.75
307,Alyangula,90,AU,1612552786,94,78.8,-13.8483,136.4192,10.36
308,Karlskrona,0,SE,1612552539,92,14.0,56.1616,15.5866,9.22
309,Fortuna,90,US,1612552788,93,52.0,40.5982,-124.1573,5.14
310,Pandan,100,PH,1612552771,87,78.21,14.0453,124.1694,9.95
311,Dakar,0,SN,1612552769,77,66.2,14.6937,-17.4441,17.27
312,Dolores,0,AR,1612552792,23,85.57,-36.3132,-57.6792,6.24
313,Phan Thiet,2,VN,1612552793,82,71.29,10.9333,108.1,6.91
314,Makushino,100,RU,1612552794,99,34.14,55.2103,67.2442,9.35
315,Sørland,75,NO,1612552709,70,37.4,67.667,12.6934,11.5
316,Tselinnoye,100,RU,1612552796,98,23.45,53.0833,85.6667,5.86
317,Porto Santo,20,PT,1612552797,67,57.2,33.072,-16.3415,20.71
318,Kuzovatovo,100,RU,1612552798,95,17.76,53.5468,47.6866,12.82
319,College,40,US,1612552799,63,-18.4,64.8569,-147.8028,8.05
320,Vangaindrano,100,MG,1612552801,83,79.25,-23.35,47.6,7.05
321,Torbay,75,CA,1612552806,87,41.0,47.6666,-52.7314,23.02
322,Luang Prabang,0,LA,1612552807,68,66.07,19.8856,102.1347,0.78
323,Benguela,20,AO,1612552808,77,76.03,-12.5763,13.4055,4.7
324,Tabory,100,RU,1612552809,97,34.27,58.5198,64.5495,8.55
325,Hemnesberget,0,NO,1612552810,85,12.0,66.2333,13.6333,2.3
326,Pajapan,1,MX,1612552554,37,89.6,18.25,-94.7,20.71
327,Thinadhoo,100,MV,1612552751,78,82.44,0.5333,72.9333,15.48
328,Gallup,1,US,1612552567,33,42.8,35.5281,-108.7426,14.97
